Rank_By_Q2_cv,Model_ID,Model_Family,Track,Selector,Regressor,Cluster_File,N_Selected_Features,Selected_Features,Best_Params,R2_train,CCC_tr,RMSE_train,Q2_cv,CCC_cv,RMSE_cv,MAE_cv,Q2_ext_F1,Q2_ext_F2,Q2_ext_F3,CCC_ext,RMSE_ext,MAE_ext,MCCV_R2_ext_Mean,MCCV_R2_ext_SD,MCCV_RMSE_ext_Mean,MCCV_RMSE_ext_SD,MCCV_MAE_ext_Mean,MCCV_MAE_ext_SD,Y_Scramble_R2_Mean,Y_Scramble_R2_SD,Y_Scramble_R2_Max,Champion_Features_Locked
1,Hierarchical_MC_MLR,Linear,Hierarchical,MC,MLR,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;BCUTs-1h;C1SP2;ETA_shape_y;FilterItLogS;NdS;SlogP_VSA1;SlogP_VSA2,{},0.8201821478315219,0.9012088694624852,0.5086480278414838,0.8119744761107354,0.8966561215785088,0.5201269604110512,0.4199977623189196,0.8142669240460757,0.8142516142880503,0.8191219614460035,0.9060428024492694,0.5101452907250685,0.3971404517423715,0.8064044467855591,0.032096688755069346,0.518388442968098,0.030136367756308395,0.41850907183444547,0.0238587413935825,0.01619635413847225,0.007508013332348707,0.039414697647965014,ABC;BCUTs-1h;C1SP2;ETA_shape_y;FilterItLogS;NdS;SlogP_VSA1;SlogP_VSA2
2,Hierarchical_MC_PLS,Linear,Hierarchical,MC,PLS,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;BCUTs-1h;C1SP2;ETA_shape_y;FilterItLogS;NdS;SlogP_VSA1;SlogP_VSA2,{},0.818293663774738,0.9000676624214579,0.5113120147624438,0.8119587859481894,0.8966330382086228,0.5201486614709435,0.4201119562111026,0.8165318855448964,0.8165167624849716,0.821327717158619,0.906939538222455,0.5070252118049995,0.3968259613646974,,,,,,,,,,
3,Hierarchical_GA_SVR,Nonlinear,Hierarchical,GA,SVR,feature_clusters_pyqsar3_hierarchical.cluster,8,"[""ATS1Z"", ""FilterItLogS"", ""GATS1i"", ""MIC0"", ""NdO"", ""SlogP_VSA3"", ""n6HRing"", ""nHBDon""]","{""model__C"": 10, ""model__gamma"": 0.01}",0.8367967099513163,0.913740584893829,0.4845799231988277,0.8112479977399898,0.8996597357178057,0.521130804716117,0.4090968805854748,0.8093235118151492,0.8093077945774938,0.8143077693399315,0.9081556914320056,0.5168896411158848,0.397865244738714,,,,,,,,,,
4,Hierarchical_GA_PLS,Linear,Hierarchical,GA,PLS,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;ATSC3s;BCUTs-1h;FilterItLogS;GATS1i;MATS1v;n6HRing;nG12FaRing,{},0.816349573783532,0.8988903739306542,0.514040020570049,0.8072856191451404,0.8942517745887841,0.5265723175116184,0.4174619595049555,0.8199757875781511,0.8199609483950023,0.8246815960600903,0.9095739767257804,0.5022439525099053,0.4050725202472732,,,,,,,,,,
5,Hierarchical_GA_MLR,Linear,Hierarchical,GA,MLR,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;ATSC3s;BCUTs-1h;FilterItLogS;GATS1i;MATS1v;n6HRing;nG12FaRing,{},0.8167752648646613,0.8991483764234387,0.5134439173969655,0.8071244831317818,0.894195564418548,0.5267924153436385,0.4181505147494937,0.8197477736937799,0.8197329157157159,0.8244595424277131,0.9098999589487622,0.5025619162836865,0.4043864263793651,,,,,,,,,,
6,SOM_MC_MLR,Linear,SOM,MC,MLR,feature_clusters_pyqsar3_som.cluster,8,ABC;ATSC3s;BCUTs-1h;EState_VSA5;EState_VSA7;FilterItLogS;GATS1i;PEOE_VSA6,{},0.8156594024145202,0.898471818370595,0.5150050142779041,0.8065979945112848,0.893810982784405,0.5275109129659113,0.4102806506278935,0.8007836644846937,0.8007672433175119,0.8059911524597667,0.8993148323333019,0.5283378565342146,0.4064541427708227,,,,,,,,,,
7,SOM_MC_PLS,Linear,SOM,MC,PLS,feature_clusters_pyqsar3_som.cluster,8,ABC;ATSC2Z;ATSC3s;BCUTs-1h;EState_VSA5;FilterItLogS;GATS1i;VSA_EState1,{},0.8158627554218403,0.8985951751979276,0.5147208752492655,0.8036694955894185,0.8927340192785839,0.5314897007938736,0.4142828719697203,0.817485693824741,0.8174706493861058,0.822256593019468,0.9083530379725848,0.5057055410188475,0.3828054424066658,,,,,,,,,,
8,SOM_GA_MLR,Linear,SOM,GA,MLR,feature_clusters_pyqsar3_som.cluster,8,AATS0dv;ATSC4Z;ATSC8dv;BCUTs-1h;EState_VSA5;FilterItLogS;PEOE_VSA6;PEOE_VSA7,{},0.8045370447744651,0.8916824923092875,0.5303141219938233,0.7961026252541814,0.8870851407439856,0.5416350732387507,0.4277919500775979,0.7793098539910235,0.7792916627630118,0.7850786644582279,0.8865008692521202,0.5560844198055271,0.4266064389764242,,,,,,,,,,
9,SOM_GA_PLS,Linear,SOM,GA,PLS,feature_clusters_pyqsar3_som.cluster,8,AATS0dv;ATSC4Z;ATSC8dv;BCUTs-1h;EState_VSA5;FilterItLogS;PEOE_VSA6;PEOE_VSA7,{},0.8036906715558253,0.8911624196210756,0.5314610371086705,0.7955215257322291,0.8868327484010408,0.5424063434661874,0.4289202838198129,0.7793877355351965,0.7793695507268685,0.7851545101894055,0.8862598129570388,0.5559862900619172,0.4279699961068862,,,,,,,,,,
10,Hierarchical_GA_RF,Nonlinear,Hierarchical,GA,RF,feature_clusters_pyqsar3_hierarchical.cluster,8,"[""AETA_eta"", ""BCUTd-1l"", ""BCUTdv-1h"", ""BCUTi-1h"", ""BCUTi-1l"", ""C2SP3"", ""ETA_dPsi_B"", ""FilterItLogS""]","{""model__max_depth"": 10, ""model__n_estimators"": 100}",0.9656890626127153,0.9818293935711582,0.2221862881317324,0.7944746572664193,0.8876113104382592,0.543793049758326,0.418373366636811,0.8259005197690957,0.825886168954622,0.8304514565555985,0.9120352202675872,0.4939101982924334,0.3903744332146797,,,,,,,,,,
11,KMeans_MC_MLR,Linear,KMeans,MC,MLR,feature_clusters_pyqsar3_kmeans.cluster,8,AATS2i;ATS0dv;ATS6Z;FilterItLogS;IC2;NdO;RNCG;nG12FRing,{},0.7998990156764691,0.8888265493893142,0.5365689957699538,0.7871655805167206,0.8817092880732177,0.5533780053365704,0.4412872414627141,0.8119551682257267,0.8119396679124001,0.816870634609074,0.9018641403811114,0.5133102744455573,0.3958856676459253,,,,,,,,,,
12,Hierarchical_MC_RF,Nonlinear,Hierarchical,MC,RF,feature_clusters_pyqsar3_hierarchical.cluster,8,"[""AATSC1s"", ""ATS6Z"", ""BCUTs-1h"", ""C1SP3"", ""FilterItLogS"", ""Xc-5dv"", ""n6HRing"", ""nHBDon""]","{""model__max_depth"": null, ""model__n_estimators"": 100}",0.971779149707642,0.985101638863395,0.2015050847029109,0.7868235666640682,0.8845235935879496,0.5538224517074597,0.4296795360848619,0.8159950570149339,0.8159798897048675,0.8208049212535775,0.906329630925104,0.5077664490128942,0.4074818359375001,,,,,,,,,,
