iteration,random_state,n_train,n_test,R2_ext,RMSE_ext,MAE_ext
1,20260520,513,129,0.8596960511979835,0.4795110177533159,0.37706222625276614
2,20260521,513,129,0.7911134328369103,0.5289858072871426,0.42226731558396513
3,20260522,513,129,0.8019434892094706,0.509716870237158,0.4161967175524428
4,20260523,513,129,0.8155604813751373,0.4935338136426509,0.4052254547194379
5,20260524,513,129,0.8066347572484066,0.5314432342777885,0.4337980059545257
6,20260525,513,129,0.7983100199036794,0.5281012903960901,0.4159828058013166
7,20260526,513,129,0.801144195107744,0.5307607148213911,0.4302449484414538
8,20260527,513,129,0.7806419963946178,0.5177668016331328,0.40397641584961735
9,20260528,513,129,0.8191996827942823,0.5557045803614631,0.42401408890645226
10,20260529,513,129,0.777269504186778,0.5056542704660688,0.4149674094597263
11,20260530,513,129,0.8163353112289572,0.5238582634657516,0.41136074037475495
12,20260531,513,129,0.8118563494919301,0.5378896601481528,0.4348163770356979
13,20260532,513,129,0.8012563402987036,0.5107718726687338,0.4053254722258192
14,20260533,513,129,0.7737928511432006,0.5330300885441535,0.43767522989132274
15,20260534,513,129,0.8689219658640829,0.4602151072924464,0.3836915686396731
16,20260535,513,129,0.7398723201029379,0.554998349574649,0.4486364449510429
17,20260536,513,129,0.8117458936435847,0.5252261390267459,0.43463002867922185
18,20260537,513,129,0.8146731271543455,0.479294546395249,0.4056977780911714
19,20260538,513,129,0.8180756964178845,0.49359286809308267,0.40528496789269114
20,20260539,513,129,0.8503058270668409,0.4707204968344198,0.3856364630670985
21,20260540,513,129,0.8366637007446188,0.5008289774053166,0.40967842253237746
22,20260541,513,129,0.8037336436033405,0.529964513460318,0.4270502981910361
23,20260542,513,129,0.7636124042655835,0.5437806031485641,0.4521021956650437
24,20260543,513,129,0.8050470829216159,0.5585138078496594,0.4344323106138324
25,20260544,513,129,0.7868656669594569,0.5571482047075079,0.44235168376440565
26,20260545,513,129,0.8519642565802464,0.5097572028670889,0.4103958573389369
27,20260546,513,129,0.7790575809982039,0.5568605494641408,0.44137881466506673
28,20260547,513,129,0.799456627502144,0.5123055550240838,0.39377125194065904
29,20260548,513,129,0.7900634772908213,0.5221940697549348,0.4168165203865499
30,20260549,513,129,0.8286346304133482,0.5065505938785091,0.40613838049535855
31,20260550,513,129,0.8105458737875599,0.5417830934459265,0.431331697558616
32,20260551,513,129,0.787474588954711,0.5571011501979355,0.44824759163619987
33,20260552,513,129,0.8333464041308436,0.5408004727646869,0.4262913256108626
34,20260553,513,129,0.828087143161747,0.4838397541356995,0.3921757570038955
35,20260554,513,129,0.8346340147749522,0.5298020404658744,0.413364673743153
36,20260555,513,129,0.7980669085408492,0.5255531919100954,0.4394217433835243
37,20260556,513,129,0.7903624594796579,0.4928235655628512,0.3894931784796046
38,20260557,513,129,0.7947578689384286,0.5559020962503347,0.4619089377989279
39,20260558,513,129,0.7626051761239565,0.5810174302326544,0.4644665303962167
40,20260559,513,129,0.7738389633413549,0.5476898223644644,0.4411403369075919
41,20260560,513,129,0.8258830963252201,0.5063448484805854,0.4145232997640463
42,20260561,513,129,0.7451800799885564,0.5627243427806945,0.46134610260298087
