SMILES,logKoc
C=CC=O,-0.31
CC(=O)O,0.0
CNC(=O)/C=C(\C)OP(=O)(OC)OC,0.0
CCO,0.2
C[C@H](O)CO,0.36
CO[P@](=O)(NC(C)=O)SC,0.39
CC(Cl)(Cl)C(=O)O,0.44
CO,0.44
CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.48
CCCO,0.48
CCCCO,0.5
NC(=O)c1c(Cl)cccc1Cl,0.53
CNC(=O)O/N=C/C(C)(C)[S@@](C)=O,0.56
CCCCCO,0.7
CO[P@](N)(=O)SC,0.7
OCc1ccccc1,0.7
C1CN1,0.78
CC(N)=S,0.78
CCN(CC)C(=O)/C(Cl)=C(/C)OP(=O)(OC)OC,0.85
NC(N)=S,0.85
NC(=O)C(Cl)(Cl)Cl,0.99
CNC(=O)O/N=C(\SC)C(=O)N(C)C,1.0
ClC[C@H]1CO1,1.0
CCCCCCO,1.01
NC(N)=O,1.03
CC[S@@](=O)CCSP(C)(C)=O,1.05
O=C(O)c1ccccc1C(=O)O,1.07
CNC(=O)CSP(=S)(OC)OC,1.08
O=C(O)c1cccc(Cl)n1,1.16
CCNNCC,1.18
C1COCCO1,1.23
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,1.27
Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O,1.3
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.3
NC(=O)Nc1ccccc1F,1.32
CBr,1.34
CC1=CC(=O)CC(C)(C)C1,1.4
CN(C)C(=O)Nc1ccccc1,1.4
COc1ccc(NC(=O)N(C)C)cc1,1.4
COc1ccc(NC(C)=O)cc1,1.4
Nc1ccccc1,1.41
CNC(=O)c1ccccc1,1.42
CC(=O)Nc1ccccc1,1.43
CN(C)C(=O)Nc1ccc(F)cc1,1.43
O=C(O)c1ccc(O)cc1,1.43
Oc1ccccc1,1.43
ClCCl,1.44
CC(=O)Nc1cccc(C)c1,1.45
N=C(O)c1ccccc1[N+](=O)[O-],1.45
O=C(O)Cc1ccccc1,1.45
OCCc1ccccn1,1.45
CCCCCC(=O)O,1.46
NC(=O)c1ccccc1,1.46
CC(=O)Nc1ccc(F)cc1,1.48
CC(Cl)Cl,1.48
O=C(O)COc1ccc(Cl)cc1Cl,1.48
COc1c(Cl)ccc(Cl)c1C(=O)O,1.5
COc1cccc(O)c1,1.5
C[C@@H](O)c1ccccc1,1.5
O=C(O)c1ccccc1,1.5
CNP(=O)(NC)Oc1ccccc1,1.51
Cc1ccc(NC(=O)N(C)C)cc1,1.51
NC(=O)c1ccccc1Cl,1.51
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,1.52
ClCCOCCCl,1.52
NC(=O)Nc1ccc(F)cc1,1.52
O=C(O)Cn1c(=O)sc2cccc(Cl)c21,1.52
O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,1.53
COc1ccccc1,1.54
Cc1cccc(O)c1,1.54
ClCCCl,1.54
O=C(O)c1ccc([N+](=O)[O-])cc1,1.54
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,1.55
CCCCCCCCO,1.56
COc1ccccc1O,1.56
Cc1cccc(NC(N)=O)c1,1.56
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1.56
Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1.56
CC(=O)Nc1cccc(F)c1,1.57
CCO[P@](=O)(NC(C)C)Oc1ccc([S@@](C)=O)c(C)c1,1.57
CC(=O)Nc1ccccc1Cl,1.58
O=C(CCl)Nc1ccccc1,1.58
CC(=O)c1ccccc1,1.59
COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl,1.6
CNC(=O)Oc1cccc2c1OC(C)(C)C2,1.61
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,1.61
NC(=O)Nc1ccccc1Cl,1.61
COCC(=O)N(c1c(C)cccc1C)[C@@H](C)C(=O)OC,1.63
Nc1nc[nH]n1,1.64
COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,1.65
Cc1cccc(N)c1,1.65
ClC(Cl)Cl,1.65
COP(=O)(OC)O/C(C)=C\C(=O)N(C)C,1.66
COP(=O)(OC)OC=C(Cl)Cl,1.67
C[C@H](Cl)CCl,1.69
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,1.69
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,1.7
CCCC(=O)Nc1ccccc1,1.71
CC[C@@H](C)c1ccccc1OC(=O)NC,1.71
CNC(=O)Oc1ccc(C)c(C)c1,1.71
COc1ccc(NC(=O)N(C)C)cc1Cl,1.72
